City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,bella vista,36.4295,-94.2316,44.47,94,100,9.22,US,1675824801
345,batemans bay,-35.7167,150.1833,69.1,84,100,2.1,AU,1675824802
346,mirabad,30.4362,61.8383,55.85,36,75,3.04,AF,1675824809
347,mandalgovi,45.7625,106.2708,13.75,77,96,6.93,MN,1675824811
348,thompson,55.7435,-97.8558,3.36,85,100,4.61,CA,1675824748
349,biggar,55.6167,-3.5167,45.55,93,89,11.68,GB,1675824812
350,ghanzi,-21.5667,21.7833,65.05,91,100,11.45,BW,1675824813
351,stornoway,58.2093,-6.3865,46.36,79,100,39.12,GB,1675824814
352,le port,-20.9373,55.2919,78.8,74,69,7.83,RE,1675824814
353,gandiaye,14.2333,-16.2667,71.73,20,100,11.59,SN,1675824815
354,yar-sale,66.8333,70.8333,6.31,83,100,21.79,RU,1675824815
355,almansa,38.8692,-1.0971,39.81,88,100,7.2,ES,1675824815
356,half moon bay,37.4636,-122.4286,56.01,74,0,13.8,US,1675824816
357,musoma,-1.5,33.8,68.14,75,100,3.53,TZ,1675824816
358,chengde,40.9725,117.9361,29.93,32,7,4.52,CN,1675824742
359,jiangkou,25.4872,119.1986,59.5,76,81,13.27,CN,1675824817
360,kidal,18.4411,1.4078,73.96,15,83,7.14,ML,1675824817
361,samana,19.2056,-69.3369,72.77,87,17,10.31,DO,1675824817
362,shieli,44.1667,66.75,32.74,76,100,7.2,KZ,1675824818
363,palmer,42.1584,-72.3287,33.85,80,100,6.91,US,1675824818
